,Year,All Benefits Fraud,All Benefits Claimant Error,All Benefits Official Error,All Benefits Total,All Benefits Expenditure,Universal Credit Fraud,Universal Credit Claimant Error,Universal Credit Official Error,Universal Credit Total,Universal Credit Expenditure,State Pension Fraud,State Pension Claimant Error,State Pension Official Error,State Pension Total,State Pension Expenditure,Personal Independence Payment Fraud,Personal Independence Payment Claimant Error,Personal Independence Payment Official Error,Personal Independence Payment Total,Personal Independence Payment Expenditure,Housing Benefit Total Fraud,Housing Benefit Total Claimant Error,Housing Benefit Total Official Error,Housing Benefit Total Total,Housing Benefit Total Expenditure,Housing Benefit Working Age Fraud,Housing Benefit Working Age Claimant Error,Housing Benefit Working Age Official Error,Housing Benefit Working Age Total,Housing Benefit Working Age Expenditure,Housing Benefit Pension Age Fraud,Housing Benefit Pension Age Claimant Error,Housing Benefit Pension Age Official Error,Housing Benefit Pension Age Total,Housing Benefit Pension Age Expenditure,Pension Credit Fraud,Pension Credit Claimant Error,Pension Credit Official Error,Pension Credit Total,Pension Credit Expenditure,Carer's Allowance Fraud,Carer's Allowance Claimant Error,Carer's Allowance Official Error,Carer's Allowance Total,Carer's Allowance Expenditure,Employment and Support Allowance Fraud,Employment and Support Allowance Claimant Error,Employment and Support Allowance Official Error,Employment and Support Allowance Total,Employment and Support Allowance Expenditure,Attendance Allowance Fraud,Attendance Allowance Claimant Error,Attendance Allowance Official Error,Attendance Allowance Total,Attendance Allowance Expenditure,Disability Living Allowance Fraud,Disability Living Allowance Claimant Error,Disability Living Allowance Official Error,Disability Living Allowance Total,Disability Living Allowance Expenditure,Jobseeker's AllowanceFraud,Jobseeker's AllowanceClaimant Error,Jobseeker's AllowanceOfficial Error,Jobseeker's AllowanceTotal,Jobseeker's AllowanceExpenditure,Income Support TotalFraud,Income Support TotalClaimant Error,Income Support TotalOfficial Error,Income Support TotalTotal,Income Support TotalExpenditure,Income Support Disabled and Others Fraud,Income Support Disabled and Others Claimant Error,Income Support Disabled and Others Official Error,Income Support Disabled and Others Total,Income Support Disabled and Others Expenditure,Income Support Lone Parents Fraud,Income Support Lone Parents Claimant Error,Income Support Lone Parents Official Error,Income Support Lone Parents Total,Income Support Lone Parents Expenditure,Incapacity Benefit Fraud,Incapacity Benefit Claimant Error,Incapacity Benefit Official Error,Incapacity Benefit Total,Incapacity Benefit Expenditure,Interdependencies Fraud,Interdependencies Claimant Error,Interdependencies Official Error,Interdependencies Total,Interdependencies Expenditure,Unreviewed excluding Council Tax Benefit Fraud,Unreviewed excluding Council Tax Benefit Claimant Error,Unreviewed excluding Council Tax Benefit Official Error,Unreviewed excluding Council Tax Benefit Total,Unreviewed excluding Council Tax Benefit Expenditure,Council Tax BenefitFraud,Council Tax BenefitClaimant Error,Council Tax BenefitOfficial Error,Council Tax BenefitTotal,Council Tax BenefitExpenditure,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
0,2025.0,6500000000.0,1900000000.0,1000000000.0,9500000000.0,292200000000.0,5200000000.0,610000000.0,540000000.0,6350000000.0,65300000000.0,0.0,80000000.0,110000000.0,190000000.0,142000000000.0,100000000.0,190000000.0,40000000.0,330000000.0,25800000000.0,630000000.0,390000000.0,90000000.0,1100000000.0,15400000000.0,360000000.0,200000000.0,50000000.0,610000000.0,8500000000.0,270000000.0,190000000.0,30000000.0,490000000.0,6800000000.0,270000000.0,240000000.0,100000000.0,610000000.0,5900000000.0,100000000.0,40000000.0,20000000.0,160000000.0,4200000000.0,180000000.0,190000000.0,40000000.0,420000000.0,12300000000.0,0.0,150000000.0,20000000.0,170000000.0,7700000000.0,0.0,20000000.0,20000000.0,40000000.0,7600000000.0,10000000.0,0.0,0.0,10000000.0,300000000.0,10000000.0,0.0,0.0,10000000.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,40000000.0,40000000.0,90000000.0,0.0,20000000.0,10000000.0,10000000.0,30000000.0,5400000000.0,0.0,0.0,0.0,0.0,0.0,48463951.166666664,30831382.742936905,29152742.638784055,1678640.1041528487,17632568.42372976,63.617222268007936,60.15363952799788,5.444386664055604,36.382777731992064,39189621.0,30194003.924823657,28528806.627446864,1665197.2973767892,8995617.075176347,77.04607661141179,72.79714494344107,5.514796808800913,22.953923388588212
1,2024.0,7300000000.0,1600000000.0,800000000.0,9700000000.0,266200000000.0,5620000000.0,410000000.0,390000000.0,6410000000.0,51900000000.0,80000000.0,70000000.0,20000000.0,170000000.0,123900000000.0,0.0,60000000.0,30000000.0,90000000.0,21600000000.0,570000000.0,330000000.0,80000000.0,980000000.0,15500000000.0,330000000.0,170000000.0,50000000.0,550000000.0,9400000000.0,240000000.0,170000000.0,30000000.0,440000000.0,6100000000.0,210000000.0,210000000.0,110000000.0,530000000.0,5400000000.0,110000000.0,80000000.0,10000000.0,190000000.0,3700000000.0,190000000.0,200000000.0,50000000.0,430000000.0,12700000000.0,0.0,130000000.0,20000000.0,150000000.0,6700000000.0,0.0,10000000.0,10000000.0,30000000.0,6800000000.0,10000000.0,0.0,0.0,10000000.0,300000000.0,20000000.0,10000000.0,0.0,20000000.0,600000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,30000000.0,40000000.0,80000000.0,0.0,470000000.0,50000000.0,50000000.0,570000000.0,17000000000.0,0.0,0.0,0.0,0.0,0.0,48941272.25,31070297.893692598,29422714.763257753,1647583.130434843,17870974.356307406,63.484679584226626,60.11805352085134,5.303148509953107,36.51532041577338,39565342.666666664,30411856.825020954,28777420.715717245,1634436.1093037063,9153485.841645718,76.86471176307832,72.73355256848009,5.374670354582709,23.13528823692168
2,2023.0,6300000000.0,1400000000.0,700000000.0,8300000000.0,233800000000.0,4930000000.0,290000000.0,270000000.0,5500000000.0,43400000000.0,0.0,60000000.0,40000000.0,100000000.0,109700000000.0,40000000.0,140000000.0,20000000.0,200000000.0,17700000000.0,530000000.0,260000000.0,70000000.0,860000000.0,15000000000.0,380000000.0,150000000.0,50000000.0,580000000.0,9400000000.0,150000000.0,110000000.0,20000000.0,280000000.0,5600000000.0,120000000.0,160000000.0,60000000.0,330000000.0,4900000000.0,100.0,70.0,0.0,170.0,3300.0,180000000.0,190000000.0,40000000.0,410000000.0,12100000000.0,0.0,110000000.0,20000000.0,130000000.0,5700000000.0,30000000.0,40000000.0,50000000.0,110000000.0,6000000000.0,10000000.0,0.0,0.0,10000000.0,300000000.0,20000000.0,10000000.0,0.0,20000000.0,600000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,20000000.0,20000000.0,50000000.0,0.0,330000000.0,60000000.0,60000000.0,450000000.0,15000000000.0,0.0,0.0,0.0,0.0,0.0,49397691.416666664,31440956.40744081,29611288.81487037,1829667.5925704453,17956735.009225853,63.64863631525281,59.94545657327911,5.818128821329354,36.35136368474719,39864200.5,30730110.14089049,28916810.36656044,1813299.7743300442,9134090.359109513,77.08692025337088,72.53890735938448,5.8995396489654475,22.913079746629126
3,2022.0,6500000000.0,1500000000.0,700000000.0,8700000000.0,215800000000.0,5250000000.0,400000000.0,270000000.0,5920000000.0,40400000000.0,20000000.0,60000000.0,50000000.0,130000000.0,104500000000.0,40000000.0,170000000.0,20000000.0,230000000.0,15100000000.0,550000000.0,260000000.0,70000000.0,880000000.0,16500000000.0,400000000.0,160000000.0,50000000.0,600000000.0,10600000000.0,150000000.0,110000000.0,20000000.0,280000000.0,5800000000.0,140000000.0,150000000.0,70000000.0,350000000.0,4800000000.0,90.0,60.0,0.0,160.0,3100.0,250000000.0,180000000.0,80000000.0,500000000.0,12600000000.0,0.0,100000000.0,20000000.0,120000000.0,5300000000.0,30000000.0,40000000.0,40000000.0,110000000.0,5700000000.0,10000000.0,0.0,10000000.0,20000000.0,500000000.0,20000000.0,10000000.0,0.0,30000000.0,900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,20000000.0,40000000.0,0.0,110000000.0,30000000.0,20000000.0,160000000.0,6600000000.0,0.0,0.0,0.0,0.0,0.0,49804806.416666664,31544610.021164615,29116850.892435912,2427759.1287287013,18260196.395502046,63.33694325079049,58.46263200757749,7.696415502585645,36.663056749209495,40086315.916666664,30775483.41469048,28370120.627678473,2405362.787011998,9310832.501976188,76.77342572405409,70.7731637450774,7.816153555438081,23.226574275945907
4,2021.0,6200000000.0,1300000000.0,800000000.0,8200000000.0,211700000000.0,4880000000.0,330000000.0,330000000.0,5540000000.0,38200000000.0,0.0,70000000.0,20000000.0,90000000.0,101200000000.0,40000000.0,150000000.0,20000000.0,210000000.0,13600000000.0,600000000.0,280000000.0,70000000.0,950000000.0,17300000000.0,460000000.0,170000000.0,50000000.0,680000000.0,11500000000.0,140000000.0,100000000.0,20000000.0,270000000.0,5800000000.0,120000000.0,80000000.0,70000000.0,270000000.0,5100000000.0,90.0,60.0,0.0,160.0,3100.0,210000000.0,160000000.0,140000000.0,520000000.0,13400000000.0,0.0,0.0,0.0,0.0,0.0,30000000.0,40000000.0,40000000.0,110000000.0,5800000000.0,30000000.0,0.0,10000000.0,50000000.0,1000000000.0,30000000.0,10000000.0,0.0,40000000.0,1100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,20000000.0,20000000.0,50000000.0,0.0,140000000.0,60000000.0,60000000.0,260000000.0,12100000000.0,0.0,0.0,0.0,0.0,0.0,50249949.75,31766087.931297157,29266239.340724543,2499848.590572608,18483861.81870285,63.216000372975735,58.24112983773614,7.869747848706389,36.783999627024265,40334901.0,30897690.53452238,28418295.686460596,2479394.84806178,9437210.465477625,76.60276212593386,70.4557192281381,8.02464973592224,23.397237874066136
5,2020.0,2700000000.0,1100000000.0,700000000.0,4500000000.0,191700000000.0,1390000000.0,90000000.0,250000000.0,1730000000.0,18400000000.0,0.0,70000000.0,30000000.0,100000000.0,98800000000.0,30000000.0,140000000.0,20000000.0,190000000.0,12500000000.0,690000000.0,310000000.0,80000000.0,1080000000.0,18300000000.0,540000000.0,210000000.0,60000000.0,810000000.0,12500000000.0,140000000.0,100000000.0,20000000.0,270000000.0,5800000000.0,120000000.0,80000000.0,70000000.0,270000000.0,5100000000.0,90.0,60.0,0.0,150.0,2900.0,220000000.0,170000000.0,140000000.0,520000000.0,13400000000.0,0.0,0.0,0.0,0.0,0.0,40000000.0,40000000.0,60000000.0,140000000.0,7200000000.0,20000000.0,0.0,10000000.0,30000000.0,700000000.0,30000000.0,10000000.0,10000000.0,50000000.0,1400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,20000000.0,40000000.0,0.0,100000000.0,70000000.0,70000000.0,230000000.0,12900000000.0,0.0,0.0,0.0,0.0,0.0,50682348.96722186,31973250.899769306,29371821.733914685,2601429.165854625,18709098.067452554,63.085678711345025,57.95317081135074,8.135966998604282,36.914321288654975,40534206.350361556,31073284.679292586,28495148.648441613,2578136.0308509707,9460921.67106898,76.65940319949836,70.29909701981614,8.296626502824518,23.340596800501643
6,2019.0,2100000000.0,1000000000.0,700000000.0,3900000000.0,183700000000.0,490000000.0,50000000.0,170000000.0,700000000.0,8100000000.0,0.0,80000000.0,10000000.0,90000000.0,96800000000.0,130000000.0,170000000.0,30000000.0,330000000.0,10600000000.0,820000000.0,350000000.0,130000000.0,1300000000.0,20800000000.0,690000000.0,260000000.0,100000000.0,1050000000.0,15000000000.0,130000000.0,90000000.0,30000000.0,250000000.0,5800000000.0,80000000.0,60000000.0,60000000.0,210000000.0,5100000000.0,110.0,30.0,20.0,160.0,2900.0,250000000.0,150000000.0,140000000.0,540000000.0,15300000000.0,0.0,0.0,0.0,0.0,0.0,40000000.0,50000000.0,60000000.0,150000000.0,8100000000.0,40000000.0,0.0,20000000.0,60000000.0,1300000000.0,40000000.0,20000000.0,10000000.0,70000000.0,1800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,20000000.0,40000000.0,0.0,90000000.0,60000000.0,70000000.0,220000000.0,13000000000.0,0.0,0.0,0.0,0.0,0.0,51031884.4948152,32320131.530963127,29750534.768413365,2569596.7625497603,18711752.96385208,63.33302492630986,58.29762471130753,7.950883551760088,36.666975073690146,40547373.21753209,31344549.036279667,28796833.482964944,2547715.553314721,9202824.18125244,77.30346676594021,71.02014453844018,8.128441501630435,22.696533234059796
7,2018.0,2200000000.0,1000000000.0,700000000.0,3800000000.0,177300000000.0,170000000.0,20000000.0,80000000.0,270000000.0,3300000000.0,0.0,80000000.0,10000000.0,90000000.0,93800000000.0,120000000.0,90000000.0,50000000.0,260000000.0,8200000000.0,990000000.0,400000000.0,90000000.0,1480000000.0,22300000000.0,850000000.0,320000000.0,60000000.0,1230000000.0,16200000000.0,150000000.0,80000000.0,30000000.0,250000000.0,6100000000.0,190000000.0,60000000.0,80000000.0,340000000.0,5500000000.0,110.0,30.0,20.0,160.0,2900.0,320000000.0,150000000.0,140000000.0,620000000.0,15000000000.0,0.0,0.0,0.0,0.0,0.0,50000000.0,60000000.0,70000000.0,180000000.0,9400000000.0,70000000.0,0.0,30000000.0,110000000.0,1700000000.0,50000000.0,20000000.0,10000000.0,90000000.0,2200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,20000000.0,40000000.0,0.0,100000000.0,60000000.0,60000000.0,230000000.0,13100000000.0,0.0,0.0,0.0,0.0,0.0,51397746.135799825,32601074.237170305,30161741.903775368,2439332.33339494,18796671.898629513,63.428773827346866,58.6824030896907,7.483463154849503,36.571226172653134,40636590.74116863,31534689.018996943,29120239.137445908,2414449.8815510403,9101901.722171685,77.60157465988,71.65980570175873,7.657338730540649,22.398425340120003
8,2017.0,2000000000.0,900000000.0,700000000.0,3600000000.0,174000000000.0,50000000.0,0.0,30000000.0,90000000.0,1600000000.0,0.0,80000000.0,10000000.0,90000000.0,91600000000.0,70000000.0,60000000.0,30000000.0,160000000.0,5200000000.0,1060000000.0,330000000.0,110000000.0,1510000000.0,23400000000.0,890000000.0,230000000.0,70000000.0,1190000000.0,17100000000.0,170000000.0,100000000.0,40000000.0,320000000.0,6300000000.0,120000000.0,80000000.0,80000000.0,280000000.0,5800000000.0,100.0,30.0,20.0,150.0,2700.0,300000000.0,120000000.0,170000000.0,590000000.0,15000000000.0,0.0,0.0,0.0,0.0,0.0,60000000.0,70000000.0,90000000.0,220000000.0,11600000000.0,100000000.0,0.0,20000000.0,120000000.0,1900000000.0,60000000.0,30000000.0,10000000.0,90000000.0,2400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,20000000.0,40000000.0,0.0,100000000.0,60000000.0,70000000.0,230000000.0,12800000000.0,0.0,0.0,0.0,0.0,0.0,51790074.77397562,32868738.875216078,30873995.20657334,1994743.6686427395,18921335.898759533,63.465472526716546,59.61338695894215,6.069155072671909,36.534527473283454,40787593.20336023,31729385.323113978,29756951.19795382,1972434.1251601533,9058207.880246246,77.79180527890573,72.95558269470125,6.216677137774895,22.20819472109427
9,2016.0,1900000000.0,900000000.0,500000000.0,3300000000.0,172300000000.0,13000000.0,0.0,6000000.0,19000000.0,490000000.0,0.0,70000000.0,10000000.0,90000000.0,89400000000.0,0.0,0.0,0.0,0.0,0.0,1000000000.0,380000000.0,70000000.0,1460000000.0,24200000000.0,890000000.0,330000000.0,60000000.0,1280000000.0,17700000000.0,110000000.0,60000000.0,10000000.0,180000000.0,6500000000.0,160000000.0,90000000.0,80000000.0,330000000.0,6200000000.0,100.0,30.0,10.0,140.0,2600.0,270000000.0,80000000.0,100000000.0,450000000.0,14500000000.0,0.0,0.0,0.0,0.0,0.0,60000000.0,80000000.0,100000000.0,250000000.0,13300000000.0,70000000.0,0.0,30000000.0,100000000.0,2300000000.0,60000000.0,30000000.0,10000000.0,100000000.0,2700000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,10000000.0,10000000.0,10000000.0,30000000.0,0.0,110000000.0,80000000.0,90000000.0,280000000.0,16500000000.0,0.0,0.0,0.0,0.0,0.0,52180966.09118536,33140255.23949787,31375872.463287275,1764382.7762105968,19040710.851687495,63.51005506791063,60.12851566184218,5.32474351553912,36.48994493208937,40991648.12279336,31954322.6657265,30210682.492242616,1743640.1734838982,9037325.457066849,77.9530329825119,73.69915680296428,5.457365854051098,22.0469670174881
