,Year,All Benefits Fraud,All Benefits Claimant Error,All Benefits Official Error,All Benefits Total,Universal Credit Fraud,Universal Credit Claimant Error,Universal Credit Official Error,Universal Credit Total,State Pension Fraud,State Pension Claimant Error,State Pension Official Error,State Pension Total,Personal Independence Payment Fraud,Personal Independence Payment Claimant Error,Personal Independence Payment Official Error,Personal Independence Payment Total,Housing Benefit Total Fraud,Housing Benefit Total Claimant Error,Housing Benefit Total Official Error,Housing Benefit Total Total,Housing Benefit Working Age Fraud,Housing Benefit Working Age Claimant Error,Housing Benefit Working Age Official Error,Housing Benefit Working Age Total,Housing Benefit Pension Age Fraud,Housing Benefit Pension Age Claimant Error,Housing Benefit Pension Age Official Error,Housing Benefit Pension Age Total,Pension Credit Fraud,Pension Credit Claimant Error,Pension Credit Official Error,Pension Credit Total,Carer's Allowance Fraud,Carer's Allowance Claimant Error,Carer's Allowance Official Error,Carer's Allowance Total,Employment and Support Allowance Fraud,Employment and Support Allowance Claimant Error,Employment and Support Allowance Official Error,Employment and Support Allowance Total,Attendance Allowance Fraud,Attendance Allowance Claimant Error,Attendance Allowance Official Error,Attendance Allowance Total,Disability Living Allowance Fraud,Disability Living Allowance Claimant Error,Disability Living Allowance Official Error,Disability Living Allowance Total,Jobseeker's Allowance Fraud,Jobseeker's Allowance Claimant Error,Jobseeker's Allowance Official Error,Jobseeker's Allowance Total,Income Support Total Fraud,Income Support Total Claimant Error,Income Support Total Official Error,Income Support Total Total,Income Support Disabled and Others Fraud,Income Support Disabled and Others Claimant Error,Income Support Disabled and Others Official Error,Income Support Disabled and Others Total,Income Support Lone Parents Fraud,Income Support Lone Parents Claimant Error,Income Support Lone Parents Official Error,Income Support Lone Parents Total,Incapacity Benefit Fraud,Incapacity Benefit Claimant Error,Incapacity Benefit Official Error,Incapacity Benefit Total,Interdependencies Fraud,Interdependencies Claimant Error,Interdependencies Official Error,Interdependencies Total,Unreviewed excluding Council Tax Benefit Fraud,Unreviewed excluding Council Tax Benefit Claimant Error,Unreviewed excluding Council Tax Benefit Official Error,Unreviewed excluding Council Tax Benefit Total,Council Tax Benefit Fraud,Council Tax Benefit Claimant Error,Council Tax Benefit Official Error,Council Tax Benefit Total,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
0,2025.0,2.2,0.7000000000000001,0.4,3.3,8.0,0.9,0.8,9.7,0.005555555555555556,0.1,0.1,0.1,0.4,0.7,0.2,1.3,4.1,2.5,0.6,7.2,4.2,2.3,0.6,7.2,3.9,2.8,0.5,7.2,4.5,4.1,1.7,10.3,2.5,1.0,0.5,3.9,1.5,1.6,0.4,3.4,0.0,1.9,0.3,2.2,0.1,0.2,0.2,0.5,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.6,0.0,0.0,0.0,0.0,48463951.166666664,30831382.742936905,29152742.638784055,1678640.1041528487,17632568.42372976,63.617222268007936,60.15363952799788,5.444386664055604,36.382777731992064,39189621.0,30194003.924823657,28528806.627446864,1665197.2973767892,8995617.075176347,77.04607661141179,72.79714494344107,5.514796808800913,22.953923388588212
1,2024.0,2.7,0.6,0.3,3.6,10.8,0.8,0.7,12.4,0.1,0.1,0.0,0.1,0.29473684210526313,0.3,0.1,0.4,3.7,2.2,0.5,6.4,3.5,1.8,0.5,5.8,3.9,2.7,0.5,7.1,3.9,3.8,2.0,9.7,3.0,2.0,0.1,5.2,1.5,1.6,0.4,3.4,0.0,1.9,0.3,2.2,0.1,0.2,0.2,0.5,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,2.8000000000000003,0.3,0.3,3.4000000000000004,0.0,0.0,0.0,0.0,48941272.25,31070297.893692598,29422714.763257753,1647583.130434843,17870974.356307406,63.484679584226626,60.11805352085134,5.303148509953107,36.51532041577338,39565342.666666664,30411856.825020954,28777420.715717245,1634436.1093037063,9153485.841645718,76.86471176307832,72.73355256848009,5.374670354582709,23.13528823692168
2,2023.0,2.7,0.6,0.3,3.6,11.4,0.7,0.6,12.7,0.005555555555555556,0.1,0.0,0.1,0.2,0.8,0.1,1.1,3.5,1.7,0.5,5.7,4.1,1.6,0.5,6.2,2.6,1.9,0.4,5.0,2.5,3.2,1.1,6.8,3.0,2.0,0.1,5.2,1.5,1.6,0.4,3.4,0.0,1.9,0.3,2.2,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,2.2,0.4,0.4,3.0,0.0,0.0,0.0,0.0,49397691.416666664,31440956.40744081,29611288.81487037,1829667.5925704453,17956735.009225853,63.64863631525281,59.94545657327911,5.818128821329354,36.35136368474719,39864200.5,30730110.14089049,28916810.36656044,1813299.7743300442,9134090.359109513,77.08692025337088,72.53890735938448,5.8995396489654475,22.913079746629126
3,2022.0,3.0,0.7000000000000001,0.3,4.0,13.0,1.0,0.7,14.7,0.0,0.1,0.0,0.1,0.3,1.1,0.1,1.5,3.3,1.6,0.4,5.3,3.7,1.5,0.4,5.7,2.5,1.8,0.4,4.8,2.9,3.0,1.4,7.3,3.0,2.0,0.1,5.2,2.0,1.4,0.6,4.0,0.0,1.9,0.3,2.2,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,1.7,0.5,0.3,2.4,0.0,0.0,0.0,0.0,49804806.416666664,31544610.021164615,29116850.892435912,2427759.1287287013,18260196.395502046,63.33694325079049,58.46263200757749,7.696415502585645,36.663056749209495,40086315.916666664,30775483.41469048,28370120.627678473,2405362.787011998,9310832.501976188,76.77342572405409,70.7731637450774,7.816153555438081,23.226574275945907
4,2021.0,2.9000000000000004,0.6,0.4,3.9,12.8,0.9,0.9,14.5,0.0,0.1,0.0,0.1,0.3,1.1,0.1,1.5,3.5,1.6,0.4,5.5,4.0,1.5,0.4,5.9,2.5,1.8,0.4,4.7,2.4,1.6,1.3,5.3,3.0,2.0,0.1,5.2,1.6,1.2,1.0,3.9,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,1.1,0.5,0.5,2.2,0.0,0.0,0.0,0.0,50249949.75,31766087.931297157,29266239.340724543,2499848.590572608,18483861.81870285,63.216000372975735,58.24112983773614,7.869747848706389,36.783999627024265,40334901.0,30897690.53452238,28418295.686460596,2479394.84806178,9437210.465477625,76.60276212593386,70.4557192281381,8.02464973592224,23.397237874066136
5,2020.0,1.4,0.6,0.4,2.4,7.6,0.5,1.3,9.4,0.0,0.1,0.0,0.1,0.3,1.1,0.1,1.5,3.7,1.7,0.5,5.9,4.3,1.7,0.5,6.4,2.5,1.8,0.4,4.7,2.4,1.6,1.3,5.3,3.0,2.0,0.1,5.2,1.6,1.2,1.0,3.9,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.7,0.5,0.5,1.7999999999999998,0.0,0.0,0.0,0.0,50682348.96722186,31973250.899769306,29371821.733914685,2601429.165854625,18709098.067452554,63.085678711345025,57.95317081135074,8.135966998604282,36.914321288654975,40534206.350361556,31073284.679292586,28495148.648441613,2578136.0308509707,9460921.67106898,76.65940319949836,70.29909701981614,8.296626502824518,23.340596800501643
6,2019.0,1.1,0.6,0.4,2.1,6.0,0.6,2.1,8.7,0.0,0.1,0.0,0.1,1.2,1.6,0.3,3.1,4.0,1.7,0.6,6.3,4.6,1.7,0.7,7.0,2.2,1.5,0.5,4.3,1.7,1.3,1.3,4.2,3.9,1.0,0.6,5.5,1.6,1.0,0.9,3.5,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.7,0.5,0.5,1.7,0.0,0.0,0.0,0.0,51031884.4948152,32320131.530963127,29750534.768413365,2569596.7625497603,18711752.96385208,63.33302492630986,58.29762471130753,7.950883551760088,36.666975073690146,40547373.21753209,31344549.036279667,28796833.482964944,2547715.553314721,9202824.18125244,77.30346676594021,71.02014453844018,8.128441501630435,22.696533234059796
7,2018.0,1.2,0.6,0.4,2.2,5.3,0.7,2.3,8.3,0.0,0.1,0.0,0.1,1.5,1.1,0.6,3.2,4.5,1.8,0.4,6.7,5.2,2.0,0.4,7.6,2.4,1.3,0.4,4.1,3.4,1.1,1.5,6.1,3.9,1.0,0.6,5.5,2.2,1.0,0.9,4.1,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,4.3,0.2,1.7,6.3,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.8,0.5,0.5,1.8,0.0,0.0,0.0,0.0,51397746.135799825,32601074.237170305,30161741.903775368,2439332.33339494,18796671.898629513,63.428773827346866,58.6824030896907,7.483463154849503,36.571226172653134,40636590.74116863,31534689.018996943,29120239.137445908,2414449.8815510403,9101901.722171685,77.60157465988,71.65980570175873,7.657338730540649,22.398425340120003
8,2017.0,1.2,0.5,0.4,2.0,3.2,0.3,2.1,5.5,0.0,0.1,0.0,0.1,1.4,1.2,0.6,3.1,4.5,1.4,0.5,6.4,5.2,1.3,0.4,7.0,2.7,1.5,0.7,5.0,2.1,1.3,1.3,4.8,3.9,1.0,0.6,5.5,2.0,0.8,1.2,4.0,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,5.0,0.2,0.9,6.1,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.8,0.5,0.5,1.8,0.0,0.0,0.0,0.0,51790074.77397562,32868738.875216078,30873995.20657334,1994743.6686427395,18921335.898759533,63.465472526716546,59.61338695894215,6.069155072671909,36.534527473283454,40787593.20336023,31729385.323113978,29756951.19795382,1972434.1251601533,9058207.880246246,77.79180527890573,72.95558269470125,6.216677137774895,22.20819472109427
9,2016.0,1.1,0.5,0.3,1.9,2.7,0.1,1.2,4.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,4.1,1.6,0.3,6.0,5.0,1.9,0.3,7.2,1.7,0.9,0.2,2.7,2.6,1.4,1.3,5.3,3.9,1.0,0.6,5.5,1.9,0.5,0.7,3.1,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,2.9,0.1,1.3,4.3,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.7,0.5,0.5,1.7,0.0,0.0,0.0,0.0,52180966.09118536,33140255.23949787,31375872.463287275,1764382.7762105968,19040710.851687495,63.51005506791063,60.12851566184218,5.32474351553912,36.48994493208937,40991648.12279336,31954322.6657265,30210682.492242616,1743640.1734838982,9037325.457066849,77.9530329825119,73.69915680296428,5.457365854051098,22.0469670174881
