Year,All Benefits Fraud,All Benefits Claimant Error,All Benefits Official Error,All Benefits Total,Universal Credit Fraud,Universal Credit Claimant Error,Universal Credit Official Error,Universal Credit Total,State Pension Fraud,State Pension Claimant Error,State Pension Official Error,State Pension Total,Personal Independence Payment Fraud,Personal Independence Payment Claimant Error,Personal Independence Payment Official Error,Personal Independence Payment Total,Housing Benefit Total Fraud,Housing Benefit Total Claimant Error,Housing Benefit Total Official Error,Housing Benefit Total Total,Housing Benefit Working Age Fraud,Housing Benefit Working Age Claimant Error,Housing Benefit Working Age Official Error,Housing Benefit Working Age Total,Housing Benefit Pension Age Fraud,Housing Benefit Pension Age Claimant Error,Housing Benefit Pension Age Official Error,Housing Benefit Pension Age Total,Pension Credit Fraud,Pension Credit Claimant Error,Pension Credit Official Error,Pension Credit Total,Carer's Allowance Fraud,Carer's Allowance Claimant Error,Carer's Allowance Official Error,Carer's Allowance Total,Employment and Support Allowance Fraud,Employment and Support Allowance Claimant Error,Employment and Support Allowance Official Error,Employment and Support Allowance Total,Attendance Allowance Fraud,Attendance Allowance Claimant Error,Attendance Allowance Official Error,Attendance Allowance Total,Disability Living Allowance Fraud,Disability Living Allowance Claimant Error,Disability Living Allowance Official Error,Disability Living Allowance Total,Jobseeker's Allowance Fraud,Jobseeker's Allowance Claimant Error,Jobseeker's Allowance Official Error,Jobseeker's Allowance Total,Income Support Total Fraud,Income Support Total Claimant Error,Income Support Total Official Error,Income Support Total Total,Income Support Disabled and Others Fraud,Income Support Disabled and Others Claimant Error,Income Support Disabled and Others Official Error,Income Support Disabled and Others Total,Income Support Lone Parents Fraud,Income Support Lone Parents Claimant Error,Income Support Lone Parents Official Error,Income Support Lone Parents Total,Incapacity Benefit Fraud,Incapacity Benefit Claimant Error,Incapacity Benefit Official Error,Incapacity Benefit Total,Interdependencies Fraud,Interdependencies Claimant Error,Interdependencies Official Error,Interdependencies Total,Unreviewed excluding Council Tax Benefit Fraud,Unreviewed excluding Council Tax Benefit Claimant Error,Unreviewed excluding Council Tax Benefit Official Error,Unreviewed excluding Council Tax Benefit Total,Council Tax Benefit Fraud,Council Tax Benefit Claimant Error,Council Tax Benefit Official Error,Council Tax Benefit Total
2025,2.1999999999999997,0.7000000000000001,0.4,3.3,8.0,0.9,0.8,9.7,,0.1,0.1,0.1,0.4,0.7,0.2,1.3,4.1,2.5,0.6,7.2,4.2,2.3,0.6,7.2,3.9,2.8,0.5,7.2,4.5,4.1,1.7,10.3,2.5,1.0,0.5,3.9,1.5,1.6,0.4,3.4,,1.9,0.3,2.2,0.1,0.2,0.2,0.5,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.6,0.0,0.0,0.0,0.0
2024,2.7,0.6,0.3,3.6,10.8,0.8,0.7,12.4,0.1,0.1,0.0,0.1,,0.3,0.1,0.4,3.7,2.2,0.5,6.4,3.5,1.8,0.5,5.8,3.9,2.7,0.5,7.1,3.9,3.8,2.0,9.7,3.0,2.0,0.1,5.2,1.5,1.6,0.4,3.4,,1.9,0.3,2.2,0.1,0.2,0.2,0.5,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,2.8000000000000003,0.3,0.3,3.4000000000000004,0.0,0.0,0.0,0.0
2023,2.7,0.6,0.3,3.5999999999999996,11.4,0.7,0.6,12.7,,0.1,0.0,0.1,0.2,0.8,0.1,1.1,3.5,1.7,0.5,5.7,4.1,1.6,0.5,6.2,2.6,1.9,0.4,5.0,2.5,3.2,1.1,6.8,3.0,2.0,0.1,5.2,1.5,1.6,0.4,3.4,,1.9,0.3,2.2,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,2.1999999999999997,0.4,0.4,3.0,0.0,0.0,0.0,0.0
2022,3.0,0.7000000000000001,0.3,4.0,13.0,1.0,0.7,14.7,0.0,0.1,0.0,0.1,0.3,1.1,0.1,1.5,3.3,1.6,0.4,5.3,3.7,1.5,0.4,5.7,2.5,1.8,0.4,4.8,2.9,3.0,1.4,7.3,3.0,2.0,0.1,5.2,2.0,1.4,0.6,4.0,,1.9,0.3,2.2,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,1.7,0.5,0.3,2.4,0.0,0.0,0.0,0.0
2021,2.9000000000000004,0.6,0.4,3.9,12.8,0.9,0.9,14.5,0.0,0.1,0.0,0.1,0.3,1.1,0.1,1.5,3.5,1.6,0.4,5.5,4.0,1.5,0.4,5.9,2.5,1.8,0.4,4.7,2.4,1.6,1.3,5.3,3.0,2.0,0.1,5.2,1.6,1.2,1.0,3.9,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,1.0999999999999999,0.5,0.5,2.1999999999999997,0.0,0.0,0.0,0.0
2020,1.4000000000000001,0.6,0.4,2.4,7.6,0.5,1.3,9.4,0.0,0.1,0.0,0.1,0.3,1.1,0.1,1.5,3.7,1.7,0.5,5.9,4.3,1.7,0.5,6.4,2.5,1.8,0.4,4.7,2.4,1.6,1.3,5.3,3.0,2.0,0.1,5.2,1.6,1.2,1.0,3.9,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.7,0.5,0.5,1.7999999999999998,0.0,0.0,0.0,0.0
2019,1.1,0.6,0.4,2.1,6.0,0.6,2.1,8.7,0.0,0.1,0.0,0.1,1.2,1.6,0.3,3.1,4.0,1.7,0.6,6.3,4.6,1.7,0.7,7.0,2.2,1.5,0.5,4.3,1.7,1.3,1.3,4.2,3.9,1.0,0.6,5.5,1.6,1.0,0.9,3.5,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,3.1,0.3,1.2,4.6,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.7,0.5,0.5,1.7,0.0,0.0,0.0,0.0
2018,1.2,0.6,0.4,2.2,5.3,0.7,2.3,8.3,0.0,0.1,0.0,0.1,1.5,1.1,0.6,3.2,4.5,1.8,0.4,6.7,5.2,2.0,0.4,7.6,2.4,1.3,0.4,4.1,3.4,1.1,1.5,6.1,3.9,1.0,0.6,5.5,2.2,1.0,0.9,4.1,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,4.3,0.2,1.7,6.3,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.8,0.5,0.5,1.8,0.0,0.0,0.0,0.0
2017,1.2,0.5,0.4,2.0,3.2,0.3,2.1,5.5,0.0,0.1,0.0,0.1,1.4,1.2,0.6,3.1,4.5,1.4,0.5,6.4,5.2,1.3,0.4,7.0,2.7,1.5,0.7,5.0,2.1,1.3,1.3,4.8,3.9,1.0,0.6,5.5,2.0,0.8,1.2,4.0,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,5.0,0.2,0.9,6.1,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.8,0.5,0.5,1.8,0.0,0.0,0.0,0.0
2016,1.1,0.5,0.3,1.9,2.7,0.1,1.2,4.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,4.1,1.6,0.3,6.0,5.0,1.9,0.3,7.2,1.7,0.9,0.2,2.7,2.6,1.4,1.3,5.3,3.9,1.0,0.6,5.5,1.9,0.5,0.7,3.1,0.0,0.0,0.0,0.0,0.5,0.6,0.8,1.9,2.9,0.1,1.3,4.3,2.4,1.0,0.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,1.2,2.4,0.0,0.0,0.0,0.0,0.7,0.5,0.5,1.7,0.0,0.0,0.0,0.0
