period,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
Jan-Mar 1971,40513000.0,25593000.0,24613000.0,980000.0,14919000.0,63.2,60.8,3.8,36.8,33559000.0,25187000.0,24219000.0,967000.0,8373000.0,75.1,72.2,3.8,24.9
Feb-Apr 1971,40531000.0,25573000.0,24575000.0,998000.0,14959000.0,63.1,60.6,3.9,36.9,33565000.0,25172000.0,24187000.0,985000.0,8393000.0,75.0,72.1,3.9,25.0
Mar-May 1971,40550000.0,25582000.0,24559000.0,1023000.0,14968000.0,63.1,60.6,4.0,36.9,33570000.0,25180000.0,24171000.0,1009000.0,8390000.0,75.0,72.0,4.0,25.0
Apr-Jun 1971,40568000.0,25600000.0,24556000.0,1045000.0,14968000.0,63.1,60.5,4.1,36.9,33576000.0,25199000.0,24168000.0,1031000.0,8377000.0,75.1,72.0,4.1,24.9
May-Jul 1971,40587000.0,25603000.0,24541000.0,1062000.0,14984000.0,63.1,60.5,4.1,36.9,33581000.0,25202000.0,24153000.0,1049000.0,8380000.0,75.0,71.9,4.2,25.0
Jun-Aug 1971,40605000.0,25576000.0,24508000.0,1068000.0,15029000.0,63.0,60.4,4.2,37.0,33586000.0,25180000.0,24125000.0,1055000.0,8406000.0,75.0,71.8,4.2,25.0
Jul-Sep 1971,40618000.0,25539000.0,24464000.0,1076000.0,15079000.0,62.9,60.2,4.2,37.1,33589000.0,25148000.0,24085000.0,1063000.0,8440000.0,74.9,71.7,4.2,25.1
Aug-Oct 1971,40631000.0,25515000.0,24424000.0,1090000.0,15117000.0,62.8,60.1,4.3,37.2,33591000.0,25124000.0,24046000.0,1077000.0,8467000.0,74.8,71.6,4.3,25.2
Sep-Nov 1971,40645000.0,25511000.0,24398000.0,1113000.0,15134000.0,62.8,60.0,4.4,37.2,33594000.0,25115000.0,24015000.0,1100000.0,8479000.0,74.8,71.5,4.4,25.2
Oct-Dec 1971,40658000.0,25528000.0,24395000.0,1133000.0,15130000.0,62.8,60.0,4.4,37.2,33596000.0,25137000.0,24017000.0,1120000.0,8459000.0,74.8,71.5,4.5,25.2
Nov-Jan 1972,40671000.0,25560000.0,24416000.0,1143000.0,15111000.0,62.8,60.0,4.5,37.2,33598000.0,25163000.0,24032000.0,1130000.0,8436000.0,74.9,71.5,4.5,25.1
Dec-Feb 1972,40684000.0,25605000.0,24455000.0,1149000.0,15079000.0,62.9,60.1,4.5,37.1,33601000.0,25207000.0,24071000.0,1136000.0,8394000.0,75.0,71.6,4.5,25.0
Jan-Mar 1972,40697000.0,25656000.0,24501000.0,1155000.0,15041000.0,63.0,60.2,4.5,37.0,33603000.0,25257000.0,24115000.0,1142000.0,8346000.0,75.2,71.8,4.5,24.8
Feb-Apr 1972,40710000.0,25690000.0,24529000.0,1161000.0,15020000.0,63.1,60.3,4.5,36.9,33606000.0,25296000.0,24148000.0,1148000.0,8310000.0,75.3,71.9,4.5,24.7
Mar-May 1972,40723000.0,25694000.0,24539000.0,1155000.0,15029000.0,63.1,60.3,4.5,36.9,33608000.0,25300000.0,24158000.0,1142000.0,8309000.0,75.3,71.9,4.5,24.7
Apr-Jun 1972,40736000.0,25682000.0,24542000.0,1140000.0,15055000.0,63.0,60.2,4.4,37.0,33611000.0,25281000.0,24155000.0,1126000.0,8329000.0,75.2,71.9,4.5,24.8
May-Jul 1972,40750000.0,25663000.0,24541000.0,1122000.0,15087000.0,63.0,60.2,4.4,37.0,33613000.0,25262000.0,24154000.0,1108000.0,8352000.0,75.2,71.9,4.4,24.8
Jun-Aug 1972,40763000.0,25664000.0,24557000.0,1107000.0,15099000.0,63.0,60.2,4.3,37.0,33616000.0,25259000.0,24164000.0,1094000.0,8357000.0,75.1,71.9,4.3,24.9
